query_id,selectivity,plan,returned,recall,latency_ms
0,0.01,Exact-filter-first,10,1.0,0.13108699999975215
0,0.01,HNSW-medium,5,0.5,0.49637400002211507
0,0.01,HNSW-low,2,0.2,0.7338890000028186
0,0.01,HNSW-high,5,0.5,0.7307779999337072
0,0.1,HNSW-high,10,1.0,0.7623879999982819
0,0.1,Exact-filter-first,10,1.0,0.2851020000207427
0,0.1,HNSW-medium,10,1.0,0.2702309999449426
0,0.1,HNSW-low,10,1.0,0.24539499997899838
0,0.5,Exact-filter-first,10,1.0,0.9346279999817853
0,0.5,HNSW-high,10,1.0,0.532479000071362
0,0.5,HNSW-medium,10,1.0,0.29240300000310526
0,0.5,HNSW-low,10,1.0,0.14258700002756086
0,1.0,Exact-filter-first,10,1.0,1.4816989998962526
0,1.0,HNSW-medium,10,1.0,0.50642799999423
0,1.0,HNSW-low,10,1.0,1.0354680000546068
0,1.0,HNSW-high,10,1.0,1.8889970000373069
1,0.01,HNSW-low,0,0.0,0.2100570000038715
1,0.01,HNSW-high,5,0.5,0.6494770000244898
1,0.01,HNSW-medium,5,0.5,0.24509100001068873
1,0.01,Exact-filter-first,10,1.0,0.11779900000874477
1,0.1,Exact-filter-first,10,1.0,0.2518910000617325
1,0.1,HNSW-high,10,1.0,0.5261009999912858
1,0.1,HNSW-low,10,1.0,0.14463200000136567
1,0.1,HNSW-medium,10,1.0,0.21910999998908665
1,0.5,HNSW-medium,10,1.0,0.3666909999537893
1,0.5,HNSW-high,10,1.0,0.4728659999955198
1,0.5,Exact-filter-first,10,1.0,0.9886619999406321
1,0.5,HNSW-low,10,1.0,0.1708070000177031
1,1.0,HNSW-high,10,1.0,0.5866330000117159
1,1.0,HNSW-medium,10,1.0,0.31959599994024757
1,1.0,Exact-filter-first,10,1.0,1.5411990000302467
1,1.0,HNSW-low,10,1.0,0.18130799992377433
2,0.01,HNSW-low,3,0.3,0.15018600004168547
2,0.01,Exact-filter-first,10,1.0,0.049474999968879274
2,0.01,HNSW-medium,7,0.7,0.25564700001723395
2,0.01,HNSW-high,10,1.0,0.3904389999433988
2,0.1,Exact-filter-first,10,1.0,0.24475099996834615
2,0.1,HNSW-medium,10,1.0,0.2620049999677576
2,0.1,HNSW-high,10,1.0,0.37461700003404985
2,0.1,HNSW-low,10,1.0,0.14219199999843113
2,0.5,HNSW-low,10,1.0,0.2108600000383376
2,0.5,Exact-filter-first,10,1.0,0.9060889999545907
2,0.5,HNSW-medium,10,1.0,0.2949209999769664
2,0.5,HNSW-high,10,1.0,0.4262170000401966
2,1.0,HNSW-medium,10,1.0,0.34022099998765043
2,1.0,Exact-filter-first,10,1.0,1.5959300000076837
2,1.0,HNSW-low,10,1.0,0.2059729999928095
2,1.0,HNSW-high,10,1.0,0.6458120000161216
3,0.01,HNSW-medium,2,0.2,0.3315249999786829
3,0.01,HNSW-high,2,0.2,0.5863940000381263
3,0.01,HNSW-low,0,0.0,0.15907099998457852
3,0.01,Exact-filter-first,10,1.0,0.11223399997106753
3,0.1,HNSW-high,10,1.0,0.4955440000458111
3,0.1,HNSW-medium,10,1.0,0.3242330000148286
3,0.1,HNSW-low,10,1.0,0.14988400005222502
3,0.1,Exact-filter-first,10,1.0,0.26643800003967044
3,0.5,HNSW-high,10,1.0,0.5402839999533171
3,0.5,Exact-filter-first,10,1.0,1.073799999971925
3,0.5,HNSW-medium,10,1.0,0.41826200003924896
3,0.5,HNSW-low,10,0.9,0.16441200000372191
